source,target_class,level,trial_number,base_acc,nb_flips,last_asr,last_ta
3,4,2,4,0.8941,104,0.896,0.8385555555555556
5,4,2,0,0.8941,137,0.902,0.6683333333333333
5,4,2,1,0.8941,137,0.902,0.6662222222222223
5,4,2,2,0.8941,135,0.908,0.6798888888888889
5,4,2,3,0.8941,134,0.896,0.6931111111111111
5,4,2,4,0.8941,138,0.898,0.6714444444444444
6,4,2,0,0.8941,102,0.9,0.7972222222222223
6,4,2,1,0.8941,103,0.898,0.7903333333333333
6,4,2,2,0.8941,101,0.896,0.7975555555555556
6,4,2,3,0.8941,105,0.904,0.7907777777777778
6,4,2,4,0.8941,99,0.896,0.8093333333333333
7,4,2,0,0.8941,108,0.902,0.7301111111111112
7,4,2,1,0.8941,107,0.9,0.7305555555555555
7,4,2,2,0.8941,107,0.896,0.7274444444444444
7,4,2,3,0.8941,109,0.902,0.7274444444444444
7,4,2,4,0.8941,108,0.896,0.7261111111111112
8,4,2,0,0.8941,122,0.898,0.8041111111111111
8,4,2,1,0.8941,124,0.896,0.7986666666666666
8,4,2,2,0.8941,124,0.896,0.7973333333333333
8,4,2,3,0.8941,124,0.896,0.8013333333333333
8,4,2,4,0.8941,125,0.898,0.7994444444444444
9,4,2,0,0.8941,138,0.898,0.7397777777777778
9,4,2,1,0.8941,138,0.898,0.752
9,4,2,2,0.8941,138,0.902,0.7578888888888888
9,4,2,3,0.8941,50,0.002,0.8784444444444445
9,4,2,4,0.8941,138,0.898,0.7408888888888889
0,5,2,0,0.8941,45,0.002,0.8977777777777778
0,5,2,1,0.8941,125,0.908,0.7355555555555555
0,5,2,2,0.8941,43,0.002,0.8975555555555556
0,5,2,3,0.8941,122,0.898,0.7423333333333333
0,5,2,4,0.8941,121,0.898,0.7368888888888889
1,5,2,0,0.8941,161,0.896,0.7142222222222222
1,5,2,1,0.8941,161,0.896,0.7221111111111111
1,5,2,2,0.8941,164,0.9,0.7293333333333333
1,5,2,3,0.8941,164,0.906,0.7125555555555556
1,5,2,4,0.8941,162,0.898,0.7188888888888889
2,5,2,0,0.8941,130,0.908,0.6734444444444444
2,5,2,1,0.8941,133,0.906,0.6665555555555556
2,5,2,2,0.8941,132,0.898,0.6657777777777778
2,5,2,3,0.8941,131,0.902,0.6745555555555556
2,5,2,4,0.8941,133,0.908,0.6774444444444444
3,5,2,0,0.8941,123,0.898,0.7606666666666667
3,5,2,1,0.8941,122,0.898,0.7606666666666667
3,5,2,2,0.8941,121,0.896,0.768
3,5,2,3,0.8941,122,0.896,0.7603333333333333
3,5,2,4,0.8941,121,0.902,0.7616666666666667
4,5,2,0,0.8941,128,0.908,0.6656666666666666
4,5,2,1,0.8941,130,0.904,0.658
